Date,Level
1929-03,1.376222608
1929-04,2.822426955
1929-05,3.536195176
1929-06,3.230480409
1929-07,3.015311034
1929-08,2.64569118
1929-09,2.473276744
1929-10,2.274926257
1929-11,2.526095165
1929-12,2.849524134
1930-01,4.012979422
1930-02,3.436390712
1930-03,3.593175731
1930-04,3.720652193
1930-05,3.154578437
1930-06,2.460389626
1930-07,2.010391727
1930-08,1.48158549
1930-09,1.321341392
1930-10,1.249025157
1930-11,0.979522508
1930-12,1.067078777
1931-01,0.626170872
1931-02,-0.228278246
1931-03,-1.336573989
1931-04,-1.279912762
1931-05,-1.195972383
1931-06,-1.162827258
1931-07,-1.019886199
1931-08,-0.972145414
1931-09,-0.935514421
1931-10,-0.812115933
1931-11,-0.67662982
1931-12,-0.338301914
1932-01,0.686059919
1932-02,0.914377359
1932-03,0.318628109
1932-04,-0.022891742
1932-05,0.041710716
1932-06,-0.32414204
1932-07,-0.521568074
1932-08,-0.643556008
1932-09,-0.605292022
1932-10,-0.992384574
1932-11,-0.591077024
1932-12,-0.537104134
1933-01,0.048444346
1933-02,-0.371507613
1933-03,-0.288694766
1933-04,0.521676445
1933-05,0.828074761
1933-06,0.401424264
1933-07,-0.08509847
1933-08,-0.286471616
1933-09,-0.55515629
1933-10,-0.717245561
1933-11,-0.926545752
1933-12,-0.669279875
1934-01,-0.961818208
1934-02,-1.882232467
1934-03,-2.471966884
1934-04,-2.050727065
1934-05,-2.151464708
1934-06,-2.397750761
1934-07,-2.379111469
1934-08,-2.227512988
1934-09,-1.895690851
1934-10,-1.760223233
1934-11,-1.843480072
1934-12,-1.632173171
1935-01,-1.440953409
1935-02,-1.859887255
1935-03,-1.79712675
1935-04,-1.614874172
1935-05,-1.519499185
1935-06,-1.530065589
1935-07,-1.294800973
1935-08,-1.493659125
1935-09,-1.056650611
1935-10,-1.176840118
1935-11,-0.756162939
1935-12,-0.459821238
1936-01,-1.209747448
1936-02,-1.869002867
1936-03,-1.079446541
1936-04,-0.303775988
1936-05,-0.315777206
1936-06,-0.624005529
1936-07,-0.779389327
1936-08,-0.969870468
1936-09,-0.770736007
1936-10,-0.38853936
1936-11,-0.28178371
1936-12,-0.300163925
1937-01,0.912104306
1937-02,1.605964047
1937-03,1.034849343
1937-04,1.038568188
1937-05,1.561919209
1937-06,1.563856204
1937-07,1.984749951
1937-08,1.859669437
1937-09,1.328049052
1937-10,0.885843845
1937-11,0.640979634
1937-12,0.422265949
1938-01,0.446201605
1938-02,0.938732706
1938-03,-0.707414014
1938-04,1.767075219
1938-05,1.310584163
1938-06,1.186575966
1938-07,1.160720054
1938-08,1.443094781
1938-09,1.282853517
1938-10,1.344456572
1938-11,1.05325528
1938-12,1.034560312
1939-01,1.0675824
1939-02,0.581269039
1939-03,0.801638944
1939-04,1.197511651
1939-05,1.33685627
1939-06,1.050645263
1939-07,0.901845949
1939-08,0.910544328
1939-09,0.819610049
1939-10,0.704005273
1939-11,0.805503155
1939-12,0.741912058
1940-01,-0.029848126
1940-02,-0.467830316
1940-03,-0.749724669
1940-04,-0.117206032
1940-05,0.070280172
1940-06,0.326215577
1940-07,0.379864552
1940-08,0.288318938
1940-09,0.573161894
1940-10,0.624853948
1940-11,0.38058634
1940-12,0.900661634
1941-01,1.489706098
1941-02,0.324664579
1941-03,-0.627862794
1941-04,-0.894045386
1941-05,-1.224743009
1941-06,-1.29596496
1941-07,-1.417150618
1941-08,-1.511204052
1941-09,-1.607831302
1941-10,-1.519076883
1941-11,-1.518335138
1941-12,-1.112812701
1942-01,-1.436179615
1942-02,-1.257494968
1942-03,-1.512869071
1942-04,-0.358965796
1942-05,-0.390059061
1942-06,-0.065649042
1942-07,-0.149879499
1942-08,0.004348001
1942-09,0.06003568
1942-10,0.207630748
1942-11,0.495149796
1942-12,0.578873785
1943-01,1.298833881
1943-02,0.376965567
1943-03,0.159447595
1943-04,0.457121825
1943-05,1.469300768
1943-06,2.306993665
1943-07,2.262351991
1943-08,2.076475353
1943-09,1.757071956
1943-10,1.719077762
1943-11,1.669917088
1943-12,1.283355555
1944-01,0.450123343
1944-02,-0.185850696
1944-03,-0.554098939
1944-04,0.333726753
1944-05,0.720526166
1944-06,0.630818579
1944-07,0.19205064
1944-08,-0.178677874
1944-09,-0.206954729
1944-10,-0.124357853
1944-11,-0.034058087
1944-12,-0.168807742
1945-01,-0.522179482
1945-02,-1.382251932
1945-03,-0.704268439
1945-04,-0.097373669
1945-05,0.046920646
1945-06,0.511644817
1945-07,0.722540972
1945-08,0.568708422
1945-09,0.472261846
1945-10,1.322107155
1945-11,1.15347584
1945-12,0.989095436
1946-01,0.88808896
1946-02,-0.174630157
1946-03,-0.17501568
1946-04,-0.474703775
1946-05,-0.838616081
1946-06,-0.254209873
1946-07,-0.111446835
1946-08,-0.504228367
1946-09,-0.762738535
1946-10,-0.833589475
1946-11,-0.859149484
1946-12,-1.111213012
1947-01,-1.279962446
1947-02,-1.596492362
1947-03,-2.274465998
1947-04,-0.63400931
1947-05,0.563548167
1947-06,1.287263359
1947-07,0.792471871
1947-08,0.654271747
1947-09,0.728179371
1947-10,0.382063062
1947-11,0.213953
1947-12,0.123531304
1948-01,0.018309485
1948-02,-0.785814726
1948-03,-0.395212697
1948-04,0.377501917
1948-05,0.575594088
1948-06,0.280637109
1948-07,0.058265358
1948-08,-0.260423152
1948-09,-0.481212025
1948-10,-0.91175362
1948-11,-0.976620661
1948-12,-0.944655552
1949-01,-0.833653226
1949-02,-0.682722973
1949-03,-0.912942604
1949-04,-1.331411019
1949-05,-1.697265998
1949-06,-2.081415363
1949-07,-2.258924145
1949-08,-2.493693511
1949-09,-2.781807163
1949-10,-2.596438963
1949-11,-2.860765606
1949-12,-2.765154809
1950-01,-1.281707993
1950-02,-0.422540498
1950-03,-1.028434586
1950-04,-0.189971665
1950-05,-0.55268923
1950-06,-1.158973423
1950-07,-1.539586593
1950-08,-1.767427966
1950-09,-1.421881207
1950-10,-1.247642256
1950-11,-0.992492614
1950-12,0.059674133
1951-01,0.086450259
1951-02,-0.170284431
1951-03,0.536985551
1951-04,0.884199246
1951-05,0.772422685
1951-06,0.396794398
1951-07,0.191856997
1951-08,-0.030285511
1951-09,-0.190316452
1951-10,-0.104454267
1951-11,0.251914046
1951-12,0.777368609
1952-01,1.795195704
1952-02,2.737271593
1952-03,2.57241184
1952-04,2.637078998
1952-05,2.222945965
1952-06,1.830679025
1952-07,1.421128109
1952-08,1.221401813
1952-09,1.313517506
1952-10,0.816733857
1952-11,0.571057707
1952-12,0.929542483
1953-01,1.286168794
1953-02,0.938810674
1953-03,0.79458608
1953-04,0.593484124
1953-05,0.577787886
1953-06,0.794694451
1953-07,0.576363368
1953-08,0.664909113
1953-09,0.41905002
1953-10,0.381521383
1953-11,0.310723107
1953-12,0.141181394
1954-01,0.101571367
1954-02,-0.511233991
1954-03,-0.143812174
1954-04,0.793355374
1954-05,0.75816506
1954-06,0.253347617
1954-07,0.018374314
1954-08,-0.004633429
1954-09,-0.019256287
1954-10,0.990716921
1954-11,1.701078114
1954-12,1.950825456
1955-01,2.367328471
1955-02,1.641459951
1955-03,2.082948799
1955-04,2.032845564
1955-05,1.465662766
1955-06,0.903667282
1955-07,0.478643813
1955-08,0.553721388
1955-09,0.352019933
1955-10,0.416225332
1955-11,0.237520017
1955-12,0.356372829
1956-01,-0.155152906
1956-02,-1.546184219
1956-03,-1.009684483
1956-04,-0.70206913
1956-05,0.209792723
1956-06,0.274706025
1956-07,0.249770045
1956-08,0.440121482
1956-09,0.450579854
1956-10,0.119303924
1956-11,-0.188135528
1956-12,-0.047800951
1957-01,-0.349936503
1957-02,-0.715669383
1957-03,-0.881654637
1957-04,-0.365772393
1957-05,-0.213271912
1957-06,-0.451809025
1957-07,3.04387E-05
1957-08,-0.356609907
1957-09,-0.457212815
1957-10,-0.536149332
1957-11,-0.821463386
1957-12,-0.203751582
1958-01,-0.009567783
1958-02,-1.323040644
1958-03,-1.754517233
1958-04,-2.05334207
1958-05,-2.41314407
1958-06,-2.536039709
1958-07,-2.024300622
1958-08,-1.655778109
1958-09,-1.428260146
1958-10,-1.502651394
1958-11,-1.63061468
1958-12,-1.671284801
1959-01,-1.948528719
1959-02,-1.437479025
1959-03,-1.184176388
1959-04,-0.799430646
1959-05,-0.568251134
1959-06,-0.972216123
1959-07,-1.482285073
1959-08,-1.544307357
1959-09,-1.575380483
1959-10,-1.092947926
1959-11,-0.929297011
1959-12,-0.092106194
1960-01,0.546439615
1960-02,0.473199923
1960-03,-0.0675626
1960-04,0.300874432
1960-05,0.478118963
1960-06,0.685128203
1960-07,0.921251262
1960-08,1.206635905
1960-09,1.352869128
1960-10,1.159961773
1960-11,0.818994704
1960-12,0.637738613
1961-01,0.409684035
1961-02,0.131676839
1961-03,0.865278163
1961-04,1.237738352
1961-05,2.044278468
1961-06,1.59038661
1961-07,1.262714941
1961-08,1.478401648
1961-09,1.556710301
1961-10,1.257097192
1961-11,1.150002038
1961-12,1.051635437
1962-01,0.542154687
1962-02,0.495384186
1962-03,0.510176549
1962-04,0.504303658
1962-05,0.098593363
1962-06,0.008057851
1962-07,-0.089355413
1962-08,0.054473192
1962-09,0.232473581
1962-10,0.639536294
1962-11,1.143448212
1962-12,1.085848197
1963-01,0.502549216
1963-02,-0.247656084
1963-03,-0.25263307
1963-04,0.269902756
1963-05,0.070377172
1963-06,-0.326682897
1963-07,-0.768045032
1963-08,-0.662619788
1963-09,-0.505823793
1963-10,-0.365346151
1963-11,-0.224067236
1963-12,-0.30493431
1964-01,-0.420492619
1964-02,-0.533994358
1964-03,-0.492035175
1964-04,-0.132829741
1964-05,-0.155366106
1964-06,-0.620614903
1964-07,-0.865072063
1964-08,-0.904692932
1964-09,-0.760256609
1964-10,-0.974048806
1964-11,-0.848634681
1964-12,-0.510565149
1965-01,-0.056760718
1965-02,-0.097534717
1965-03,0.355771394
1965-04,0.385428728
1965-05,0.335020355
1965-06,-0.045937534
1965-07,-0.338685896
1965-08,-0.256242885
1965-09,0.12323056
1965-10,0.312831673
1965-11,0.688289475
1965-12,1.159428319
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
