Month,time,level
1965-11,44.83333333,12.998
1965-12,44.91666667,13.131
1966-01,45,13.7
1966-02,45.08333333,13.814
1966-03,45.16666667,14.383
1966-04,45.25,15.047
1966-05,45.33333333,15.693
1966-06,45.41666667,15.844
1966-07,45.5,15.712
1966-08,45.58333333,15.313
1966-09,45.66666667,14.763
1966-10,45.75,13.548
1966-11,45.83333333,13.586
1966-12,45.91666667,14.516
1967-01,46,14.383
1967-02,46.08333333,14.497
1967-03,46.16666667,14.744
1967-04,46.25,15.806
1967-05,46.33333333,16.527
1967-06,46.41666667,16.546
1967-07,46.5,16.717
1967-08,46.58333333,16.433
1967-09,46.66666667,15.769
1967-10,46.75,15.275
1967-11,46.83333333,15.123
1967-12,46.91666667,15.541
1968-01,47,15.825
1968-02,47.08333333,16.376
1968-03,47.16666667,16.357
1968-04,47.25,16.907
1968-05,47.33333333,17.021
1968-06,47.41666667,17.419
1968-07,47.5,17.533
1968-08,47.58333333,17.268
1968-09,47.66666667,16.603
1968-10,47.75,15.825
1968-11,47.83333333,15.446
1968-12,47.91666667,15.636
1969-01,48,15.693
1969-02,48.08333333,16.755
1969-03,48.16666667,16.509
1969-04,48.25,17.723
1969-05,48.33333333,18.691
1969-06,48.41666667,19.127
1969-07,48.5,19.564
1969-08,48.58333333,19.203
1969-09,48.66666667,18.216
1969-10,48.75,17.211
1969-11,48.83333333,16.66
1969-12,48.91666667,16.831
1970-01,49,15.769
1970-02,49.08333333,15.731
1970-03,49.16666667,15.996
1970-04,49.25,17.021
1970-05,49.33333333,17.552
1970-06,49.41666667,17.837
1970-07,49.5,17.856
1970-08,49.58333333,17.571
1970-09,49.66666667,17.078
1970-10,49.75,16.66
1970-11,49.83333333,16.433
1970-12,49.91666667,16.584
